sources,id,description,date,location,latitude,longitude,graphic,associations,time
['src86'],J2SD2W,What appears to be a residential building is on fire following a reported strike.,03/16/2025,"Horlivka, Donetsk region",48.338767,37.965956,FALSE,['asc1'],00:00
['src87'],34RDSC,Extensive damage to an area in the village following a reported strike.,03/16/2025,"Ivanopillya, Donetsk region",48.473583,37.763972,FALSE,['asc8'],00:00
['src88'],2K5ESC,What appears to be a shop is damaged following a reported strike.,03/16/2025,"Pokrovsk, Donetsk region",48.276014,37.168612,FALSE,['asc7'],00:00
['src89'],EXOYPY,Damaged school following a reported strike.,03/15/2025,"Bohodukhiv, Kharkiv region",50.159285,35.51538,FALSE,['asc3'],00:00
"['src90', 'src91']",C7R886,A school building severely damaged following a reported strike.,03/18/2025,"Grafovka, Belgorod region",50.919239,35.427082,FALSE,['asc3'],00:00
['src92'],K9WIH6,A drone on fire on the ground next to a school.,03/18/2025,Kyiv,50.47378,30.669707,FALSE,['asc3'],00:00
"['src93', 'src94']",3INL8C,Damaged administrative building and a house of culture following a reported strike.,03/25/2025,"Dudchany, Kherson region",47.190408,33.774384,FALSE,"['asc9', 'asc10']",00:00
['src95'],P6EM4Q,A multi-storey residential building damaged following a reported attack.,04/01/2025,"Pokrovsk, Donetsk region",48.269677,37.179795,FALSE,"['asc1', 'asc11']",00:00
"['src96', 'src97', 'src98', 'src99', 'src100', 'src101', 'src102', 'src103', 'src101', 'src102', 'src103']",HLNWEE,House of culture damaged following a reported strike.,04/01/2025,"Krasnopillya, Sumy region",50.771562,35.256937,FALSE,['asc10'],00:00
"['src104', 'src105', 'src106', 'src107', 'src108', 'src109', 'src110', 'src111', 'src112', 'src107', 'src113', 'src108', 'src114', 'src109', 'src115', 'src110', 'src116', 'src111', 'src117', 'src112', 'src113', 'src114', 'src115', 'src116', 'src117']",W4DR1R,Heavily damaged residential buildings following a reported strike.,04/08/2025,"Krasnopillya, Sumy region",50.775975,35.251465,FALSE,['asc1'],00:00
"['src118', 'src119', 'src120', 'src121']",FSSSCK,Heavy smoke following a reported strike.,04/15/2025,"Rylsk, Kursk region",51.571647,34.689563,FALSE,['asc1'],00:00
['src122'],579P2O,An explosion near a multi-storey residential building following a reported drone strike.,04/19/2025,"Nikopol, Dnipropetrovsk region",47.56775,34.385756,FALSE,[],00:00
['src123'],1Q9Y97,A multi-storey residential building on fire following a reported strike.,04/19/2025,Kherson,46.651589,32.644087,FALSE,['asc1'],00:00
"['src124', 'src125']",AN87Y1,A damaged multi-storey building following a reported strike.,04/29/2025,"Horlivka, Donetsk region",48.297277,38.028991,FALSE,['asc7'],00:00
"['src126', 'src127', 'src128', 'src129', 'src130', 'src131', 'src132', 'src133', 'src134']",H7HT35,Huge fire following a reported strike on a market.,05/06/2025,Kharkiv,50.000727,36.300088,FALSE,"['asc7', 'asc12']",00:00
"['src135', 'src136', 'src137', 'src138']",PMT08F,What appears to be a church damaged following a reported strike.,05/06/2025,"Dobropillya, Donetsk region",48.478382,37.069437,FALSE,['asc13'],00:00
"['src139', 'src140', 'src141', 'src142']",YTLSNV,A vehicle damaged following an explosion of a mine.,05/06/2025,"Kherson, Dniprovs'kyi district, Kherson Oblast",46.653313,32.628195,FALSE,['asc2'],00:00
['srcHidden'],W5UP1B,Two people injured following a reported strike on a residential building.,05/20/2025,"Korabelny district, Kherson",46.645443,32.588776,TRUE,['asc1'],00:00
['src143'],NALK7P,Dome of a church on fire following a reported strike.,05/25/2025,Tula region,53.826222,38.552711,FALSE,['asc13'],00:00
"['src144', 'src145', 'src146', 'src147']",XFCN1K,Two people reportedly killed following a strike on a multi-storey residential building.,06/28/2025,Odesa,46.471569,30.706476,FALSE,['asc1'],00:00
"['src148', 'src149']",US9MI2,People are injured in what appears to be a transport station is damaged following a reported strike.,06/24/2025,"Dnipro, Dnipropetrovsk Region",48.475497,34.958987,TRUE,['asc2'],00:00
"['src150', 'src151', 'src152', 'src153', 'src154', 'src155', 'src156', 'src157', 'src158', 'src159', 'src160', 'src161', 'src162', 'src163', 'src164', 'src165', 'src166', 'src167', 'src168', 'src169', 'src170', 'src171', 'src172', 'src173', 'src174', 'src175', 'src176', 'src177', 'src178', 'src179', 'src180', 'src181', 'src182']",974DKY,A tram damage following a reported strike.,06/24/2025,Dnipro,48.482448,34.964904,TRUE,['asc2'],00:00
"['src183', 'src184']",WZMVVV,A flat in a multi-storey residential building damaged following a reported strike.,06/24/2025,"Krasnogorsk, Moscow region",55.835648,37.317498,FALSE,['asc1'],00:00
['src185'],ZYYY0C,Unfinished hospital facility damaged following a reported drone attack.,06/17/2025,"Velyka Pysarivka, Sumy region",50.428547,35.481846,FALSE,['asc5'],00:00
"['src186', 'src187', 'src188', 'src189', 'src190', 'src191', 'src192', 'src193', 'src194', 'src195', 'src196', 'src197', 'src198', 'src199', 'src200', 'src201', 'src202', 'src203', 'src204', 'src205', 'src206', 'src207', 'src208', 'src209', 'src210', 'src211', 'src212', 'src213', 'src214', 'src215', 'src216', 'src217', 'src218', 'src219', 'src220', 'src221', 'src222', 'src223', 'src224', 'src225', 'src226', 'src227', 'src228', 'src229', 'src230', 'src231', 'src232', 'src233', 'src234', 'src235', 'src236', 'src237', 'src238', 'src239', 'src240', 'src241', 'src242', 'src243']",GQM66O,A multi-storey residential building severely damaged following a reported attack.,06/17/2025,Kyiv,50.444435,30.41355,FALSE,['asc1'],00:00
['src244'],Q9906Q,"Strike on the residential building. At least 6 people reported killed, dozens injured.",06/23/2025,Kyiv (Shevchenkivskyi district),50.465117,30.442054,FALSE,"['asc1', 'asc14']",00:00
['src245'],M1M1LJ,Drone strike on the high rise residential building.,06/17/2025,Kyiv (Darnytskyi microdistrict),50.415796,30.625502,FALSE,['asc1'],00:00
['src246'],JT1BZN,Aftermath of the night multiple missiles and drones attack. ,06/17/2025,Kyiv (Darnytskyi misrodistrict),50.428502,30.670532,FALSE,['asc4'],00:00
"['src247', 'src248', 'src249', 'src250']",16C553,"Regional State Administration building hit twice, reportedly by KAB missiles.",06/05/2025,Kherson,46.640599,32.615809,FALSE,['asc9'],00:00
"['src251', 'src252', 'src253', 'src254', 'src255', 'src256', 'src257', 'src258', 'src259', 'src260', 'src261', 'src262', 'src263', 'src264']",SGRIEZ,A building on fire following a reported strike.,06/03/2025,Chernihiv,51.519178,31.326482,FALSE,[],00:00
"['src265', 'src266', 'src267', 'src268', 'src269', 'src270', 'src271', 'src272', 'src273', 'src274', 'src267', 'src268', 'src269', 'src270', 'src271', 'src272', 'src273', 'src274']",3ITVQ0,What appears to be a school is damaged following a reported strike.,06/03/2025,"Sloviansk, Donetsk region",48.859728,37.57915,FALSE,['asc3'],00:00
"['src275', 'src276']",CJ3JE4,A building on fire following a reported strike.,06/03/2025,"Horlivka, Donetsk region",48.294235,37.993364,FALSE,['asc1'],00:00
"['src277', 'src278', 'src279', 'src280']",ECRGL6,Multiple people killed and injured following a strike on a street with vehicles.,06/03/2025,Sumy ,50.916986,34.805971,TRUE,[],00:00
['src281'],DSKY8V,"The moment a drone explodes, damaging a multi-storey residential building.",06/03/2025,Nikopol,47.567919,34.384828,FALSE,['asc1'],00:00
"['src282', 'src283', 'src284', 'src285', 'src286']",06QTY4,Court yard of a multi-storey residential building damaged following a reported drone explosion.,06/03/2025,Sumy,50.918478,34.808501,FALSE,[],00:00
"['src287', 'src288', 'src289', 'src290', 'src291', 'src292', 'src293', 'src294', 'src295', 'src296', 'src297', 'src298', 'src299', 'src300', 'src301', 'src302', 'src303']",OW2ME1,A driver killed following a strike on an ambulance vehicle.,06/03/2025,Kherson,46.633855,32.616788,FALSE,['asc5'],00:00
"['src304', 'src305']",E5RX3M,A car washing facility damaged following a reported strike.,06/03/2025,"Tavrovo, Belgorod region",50.49448,36.574565,FALSE,"['asc7', 'asc2']",00:00
"['src306', 'src307', 'src308']",ILGLC6,What appears to be a medical facility is severely damaged following a reported strike.,06/10/2025,Odesa,46.463306,30.737972,FALSE,"['asc1', 'asc7']",00:00
"['src309', 'src310', 'src311', 'src312', 'src313', 'src314', 'src315', 'src316', 'src317', 'src318', 'src318', 'src319', 'src319', 'src320', 'src320', 'src321', 'src321']",S4Y7UX,A building is on fire following a reported strike.,06/10/2025,Kyiv,50.460703,30.486767,FALSE,[],00:00
"['src322', 'src323', 'src324', 'src325', 'src326', 'src327', 'src328', 'src329', 'src330', 'src331', 'src332', 'src333', 'src334', 'src335', 'src322', 'src323', 'src324', 'src325', 'src326', 'src327', 'src328', 'src329', 'src330', 'src331', 'src332', 'src333', 'src334', 'src335']",EK1S10,A severely damaged building following a reported strike.,06/10/2025,Odesa,46.46315,30.738132,FALSE,[],00:00
"['src336', 'src337', 'src338']",FS2DUY,A stadium is damaged following a reported strike.,06/10/2025,Kyiv,50.48326,30.474936,FALSE,['asc10'],00:00
"['src339', 'src340']",STZWG4,A gas station is damaged following a reported strike.,06/10/2025,"Belgorod, Belgorod region",50.608776,36.547433,FALSE,['asc7'],00:00
"['src341', 'src342', 'src343', 'src344', 'src345', 'src346', 'src347', 'src341', 'src348', 'src342', 'src349', 'src343', 'src344', 'src345', 'src346', 'src347', 'src348', 'src349', 'src350', 'src351', 'src347', 'src348', 'src349', 'src352', 'src350', 'src351', 'src352', 'src353', 'src354', 'src355', 'src356', 'src357', 'src358', 'src359', 'src353', 'src354', 'src355', 'src356', 'src357', 'src358', 'src359']",7V4AGI,St. sophia's cathedral damaged following a reported strike.,06/10/2025,Kyiv,50.452861,30.514307,FALSE,['asc13'],00:00
"['src360', 'src361', 'src362', 'src363', 'src364', 'src365', 'src366', 'src367', 'src368', 'src369', 'src370', 'src371', 'src372', 'src373', 'src374', 'src375', 'src376']",OB85GU,A multi-storey residential building sustained extensive damage following a reported strike.,06/10/2025,Kyiv,50.49735,30.468051,FALSE,['asc1'],00:00
"['src377', 'src378', 'src379', 'src380', 'src381', 'src382', 'src383', 'src384', 'src385']",6KSDOR,A multi-storey residential building on fire following a reported strike.,06/10/2025,Kharkiv,49.945445,36.259244,TRUE,['asc1'],00:00
"['src386', 'src387']",7NSSNZ,Residential buildings and a recreational center damaged in a reported drone attack.,06/01/2025,"Bilhorod-Dnistrovs'kyi, Odesa region",45.648127,29.836646,FALSE,"['asc1', 'asc7', 'asc5']",00:00
"['src388', 'src389', 'src390']",6TP4Z5,Grocery store on fire after shelling.,06/01/2025,"Dnipro district, Kherson",46.647512,32.632602,FALSE,['asc7'],00:00
['src391'],1D57JB,A central market reportedly damaged in a shelling.,05/31/2025,Kherson,46.638099,32.610534,FALSE,['asc7'],00:00
['src392'],AO3MSO,What appears to be commercial and residential buildings damaged in  a shelling.,05/31/2025,Kherson,46.659456,32.653997,FALSE,"['asc1', 'asc7']",00:00
"['src393', 'src394']",VIAEUY,Multi-story residential building damaged in a shelling.,05/31/2025,Kherson,46.623115,32.576501,FALSE,['asc1'],00:00
"['src395', 'src396', 'src397']",T8MS32,A culture house and a school destroyed in a reported drone attack.,05/29/2025,"Verkhnya Syrovatka, Sumy region",50.830119,34.945853,FALSE,['asc10'],00:00
"['src398', 'src399', 'src400', 'src401', 'src402']",F1ZYO0,A city transport depot destroyed in a reported drone attack.,05/30/2025,Kharkiv,49.942841,36.268465,FALSE,['asc2'],00:00
"['src403', 'src404']",NA5H0W,What appears to be a memorial and surrounding area damaged in a strike.,05/29/2025,"Slovyansk, Donetsk region",48.875859,37.61491,FALSE,"['asc10', 'asc8']",00:00
"['src405', 'src406', 'src407', 'src408']",8QNHO9,A kindergarten reportedly hit by a drone.,05/29/2025,"Mezhova, Dnipropetrovsk region",48.243216,36.740427,FALSE,['asc3'],00:00
"['src409', 'src410', 'src411', 'src412', 'src413']",T6YS5H,One person reported killed after a village reportedly hit by KAB missiles.,05/29/2025,"Verkhnia Tersa, Zaporizhzhia region",47.695195,36.089408,TRUE,['asc1'],00:00
"['src414', 'src415']",MCSCM7,A church damaged in a strike.,05/28/2025,Kherson,46.628639,32.616014,FALSE,['asc13'],00:00
"['src416', 'src417', 'src418', 'src419']",XBKDLV,Damaged residential building after reported strike.,03/12/2025,"Myrnograd, Donetsk region",48.301156,37.283562,FALSE,['asc1'],00:00
"['src420', 'src421', 'src422']",MBZIVC,Damaged cars and fire at what appears to be industrial area.,03/12/2025,"Kozyrevka, Kursk Oblast",51.2416,35.538406,FALSE,"['asc12', 'asc2']",00:00
"['src423', 'src424', 'src425', 'src426']",UA3VG8,Damaged residential house on fire after reported strike.,03/12/2025,"Oleksiivo-Druzhkivka, Donetsk Oblast",48.57194,37.61549,FALSE,"['asc1', 'asc2']",00:00
"['src427', 'src428', 'src429']",VUX6P5,Severely damaged hotel after reported strike. 6 reportedly injured.,03/12/2025,Kryvyi Rih,47.911735,33.422298,FALSE,['asc7'],00:00
['src430'],64IFWR,Damaged residential building and car after reported rocket strike.,03/12/2025,Kryvyi Rih,47.912643,33.422856,FALSE,['asc1'],00:00
"['src431', 'src432', 'src433']",NP8CA1,Two people reported dead in a shelling. ,02/16/2025,"Bilyts'ke, Donetsk region",48.407376,37.17978,FALSE,['asc10'],00:00
"['src434', 'src435', 'src436', 'src437', 'src438']",JP2KF0,Central part of the city shelled damaging residential and commercial buildings.,02/16/2025,Mykolaiv,46.966756,31.99681,FALSE,"['asc1', 'asc7']",00:00
['src439'],ZL1HV5,Commercial area reportedly struck in artillery shelling.,02/16/2025,Vostochny/Kindiyka area in Kherson,46.67517,32.67749,FALSE,['asc7'],00:00
"['src440', 'src441']",CJNDD9,A point of invincibility and humanitarian hub reportedly hit by a drone.,02/16/2025,"Beryslav, Kherson region",46.839167,33.426667,FALSE,"['asc15', 'asc9']",00:00
"['src442', 'src443']",RF0LMG,Residential buildings and critical infrastructure damaged in a shelling.,02/16/2025,"Nova Kakhovka, Kherson region",46.751813,33.343108,FALSE,['asc1'],00:00
['src444'],KOU66N,A probable school reportedly damaged in a shelling.,02/15/2025,"Chervonyi Mayak, Kherson region",46.953908,33.604857,FALSE,['asc8'],00:00
['src445'],IHIRPV,A medical clinic damaged in a shelling.,02/27/2025,"Slovyansk, Donetsk region",48.87668,37.63806,FALSE,['asc5'],00:00
['src446'],2ORX61,Residential building on fire after shelling.,02/27/2025,"Kostyantynivka, Donetsk region",48.511129,37.681451,FALSE,['asc1'],00:00
"['src447', 'src448']",W7V9WH,Residential and commercial buildings damaged in a shelling.,02/27/2025,"Kostyantynivka, Donetsk region",48.508344,37.676271,FALSE,"['asc1', 'asc7']",00:00
"['src449', 'src450']",K7FY8M,Office of Nikopol City's mayor reportedly struck by a drone.,02/14/2025,"Nikopol, Dnipropetrovsk region",47.568311,34.391282,FALSE,['asc9'],00:00
['src451'],CT1IZB,Three people reportedly killed after a strike on a supermarket.,02/27/2025,"Oleshky, Kherson region",46.624006,32.718753,FALSE,['asc7'],00:00
"['src452', 'src453']",3Z6554,"A village hit in an artillery strike, several private homes reportedly damaged.",02/27/2025,"Tomyna Balka, Kherson region",46.625648,32.311814,FALSE,['asc1'],00:00
"['src454', 'src455', 'src456', 'src457', 'src458']",40K25U,Central part of the city reportedly hit with aerial bombs.,02/20/2025,Kherson,46.66005,32.596815,FALSE,"['asc1', 'asc9', 'asc7']",00:00
"['src459', 'src460']",FUIL1W,Two people injured in a reported drone attack on a civilian car.,02/13/2025,"Dnipro district, Kherson",46.672608,32.654365,FALSE,['asc2'],00:00
"['src461', 'src462']",22YK2J,Police car hit in a reported drone attack.,02/13/2025,"Huliaipole, Zaporizhzhia region",47.662383,36.253641,FALSE,"['asc9', 'asc2', 'asc6']",00:00
"['src463', 'src464']",41QXAJ,Two people injured after in a shelling of a high-rise.,02/13/2025,Kherson (Centralnyi District),46.666985,32.624262,FALSE,['asc1'],00:00
"['src465', 'src466', 'src467']",L8350M,Aftermath of a reported strike on the courtyard.,03/29/2025,Kharkiv,50.011472,36.23862,FALSE,"['asc7', 'asc11']",00:00
"['src468', 'src469']",W1Y7SQ,Reported explosions of drones near football fields.,03/26/2025," football field in Shakhtar, Donetsk oblast",49.982622,36.263912,FALSE,"['asc10', 'asc6']",00:00
"['src470', 'src471', 'src472']",H19FMV,Reported strike on operational medical facilities and high-rise buildings.,03/19/2025,"Krasnopillya, Sumy district",50.768392,35.263592,FALSE,"['asc1', 'asc5', 'asc6']",00:00
['src473'],UG4QM7,A residential building after reported strike.,03/12/2025,Kryvyi Rih,47.910886,33.423562,FALSE,"['asc1', 'asc11']",00:00
['src474'],AZPK5G,Hotel building damaged as a result of the reorted night massive attack.,05/25/2025,Kyiv (Shevchenkivskyi district),50.462841,30.478579,FALSE,['asc1'],00:00
"['src475', 'src476']",28P7GO,At least two people reported injured as a result of the air strike.,05/23/2025,Kupiansk (Kharkiv region),49.7188,37.61041,FALSE,['asc1'],00:00
['src477'],9O68ZP,Damaged hotel after reported strike.,03/05/2025,Kryvyi Rih,48.03434,33.479099,FALSE,"['asc7', 'asc11']",00:00
"['src478', 'src479', 'src480', 'src481']",A9KD6N,Civil infrastructure facilities damaged after a reported drone strike.,03/05/2025,Odesa,46.346932,30.680433,FALSE,"['asc7', 'asc9', 'asc6']",00:00
['src482'],MYF70Q,Damage to buildings caused by the reported drone strike.,02/26/2025,Sumy,50.000402,36.234395,FALSE,"['asc1', 'asc2', 'asc6']",00:00
"['src483', 'src484', 'src485', 'src486']",2173W2,"Aftermath of the reported attack, school building damaged.",05/18/2025,"Kursk region, Russia",51.23613,35.55303,FALSE,['asc3'],00:00
"['src487', 'src488']",7LM944,"Aftermath of the reported shelling, residential buildings damaged.",05/18/2025,Svitlodarsk (Donetsk oblast),48.435279,38.215166,FALSE,"['asc1', 'asc9']",00:00
"['src489', 'src490', 'src491', 'src492']",HJTUHI,Residential building damaged as a result of reported drone attack.,05/03/2025,"Novorossiysk, Russia",44.6935,37.788347,FALSE,['asc1'],00:00
"['src493', 'src494', 'src495']",XMJWU7,"""strela"" factorty building reported damaged as a result of the attack.",05/04/2025,"Bryansk region, Russia",52.31828,34.070109,FALSE,['asc16'],00:00
"['src496', 'src497', 'src498', 'src499', 'src500', 'src501']",OM4JZ8,High rise residential building reported damaged as a result of the drone strike.,05/04/2025,"Kyiv, Obolon district",50.515896,30.49814,FALSE,"['asc1', 'asc7']",00:00
"['src502', 'src503']",6Q0ZLI,Aftermath of the city shelling.,05/04/2025,Druzhkivka (Donetsk oblast),48.623396,37.528476,FALSE,['asc8'],00:00
"['src504', 'src505']",3V9HF6,The crater and the aftermath of the reported drone strike.,05/04/2025,"Kyiv, Obolon districy",50.515917,30.498271,FALSE,['asc1'],00:00
"['src506', 'src507', 'src508', 'src509', 'src510', 'src511', 'src512', 'src513', 'src514']",PMN1OQ,Nova poshta reported attacked by drones. post office building is damaged.,05/04/2025,Iziyum (Kharkiv oblast),49.214909,37.314865,FALSE,['asc7'],00:00
['src515'],CDBLCJ,The moment of strike on the  building of the department store.,05/04/2025,Beryslav (Kherson oblast),46.83732,33.423247,FALSE,['asc1'],00:00
"['src516', 'src517']",TFNPCW,"Aftermath of the reported yesterday's attack of the city, residential buildings damaged.",05/05/2025,Myrnohrad (Donetsk oblast),48.303262,37.27953,FALSE,"['asc1', 'asc7']",00:00
['src518'],DHSUJ7,Aftermath of the shelling of the market.,04/27/2025,Gorlivka (Donetsk oblast),48.337444,37.969139,FALSE,['asc7'],00:00
"['src519', 'src520', 'src521', 'src522', 'src523']",WDIX53,Ostrich farm reported damaged as a result of the combined kab and fpv drones strikes.,04/21/2025,Novopavlivka (Dnipropetrovsk Oblast),48.158606,36.810781,TRUE,['asc7'],00:00
"['src524', 'src525', 'src526', 'src527', 'src528']",XA958D,A building of the kindergarten reported damaged as a result of the attack.,04/21/2025,Kherson (Dniprovskyi district),46.663621,32.658312,FALSE,['asc3'],00:00
['src529'],11U6SD,Strike on a high rise residential building.,04/21/2025,Kherson,46.66024,32.65473,FALSE,['asc1'],00:00
['src530'],VDV2NU,Second strike on the city center.,04/13/2025,Sumy,50.905838,34.793893,TRUE,"['asc1', 'asc9', 'asc14']",00:00
"['src531', 'src532', 'src533', 'src534', 'src535', 'src536', 'src537', 'src538', 'src539', 'src540', 'src541', 'src542']",MGVV9V,[Very graphic] At least 34 people including two children reported killed and over one hundred people injured as a result of the double missile strike on the city center.,04/13/2025,Sumy,50.905183,34.794994,TRUE,['asc1'],00:00
"['src543', 'src544']",SPLFDI,"Aftermath of the reported shelling, trucks damaged.",04/13/2025,"Rakitnoye, Belgorod region",50.829893,35.936262,FALSE,['asc2'],00:00
"['src545', 'src546', 'src547', 'src548']",OXATVZ,Fuel station on fire due to the reported fpv drone impact.,04/14/2025,"Stepnohirsk, Zaporizhzhia",47.848688,35.245574,FALSE,"['asc7', 'asc2']",00:00
"['src549', 'src550']",YQ93VZ,Shevchenka street damage,04/06/2025,Pokrovsk (Donetsk oblast),48.276763,37.167616,FALSE,"['asc7', 'asc1']",00:00
"['src551', 'src552', 'src553']",OF66DD,"Aftermath of the reported ballistic attack, office building damaged.",04/06/2025,Kyiv (Obolon district),50.489805,30.47513,FALSE,['asc4'],00:00
"['src554', 'src555', 'src556', 'src557', 'src558', 'src559', 'src560', 'src561', 'src562', 'src563', 'src564', 'src565']",S23173,"At least one person killed and two injured including one minor as a result of the reported shelling, residential buildings damaged.",04/07/2025,Kostiantynivka (Donetsk oblast),48.50781,37.747111,TRUE,"['asc1', 'asc9', 'asc3']",00:00
"['src566', 'src567', 'src568']",HD3SO1,Residential buildings damaged as a result of the reported attack.,04/06/2025,Kupiansk (Kharkiv region),49.696361,37.598276,FALSE,['asc1'],00:00
"['src569', 'src570', 'src571', 'src572', 'src573', 'src574', 'src575', 'src576', 'src577']",AVHMTY,Aftermath of the reported drones attack.,04/06/2025,Sumy,50.876219,34.87082,FALSE,['asc4'],00:00
"['src578', 'src579', 'src580', 'src581']",43D9RF,"Aftermath of the reported shelling, residential buildings damaged.",04/05/2025,Gorlivka (Donetsk oblast),48.311429,37.981522,FALSE,['asc1'],00:00
"['src582', 'src583', 'src584', 'src585', 'src586', 'src582', 'src583', 'src584', 'src585', 'src587', 'src588', 'src589', 'src590', 'src591', 'src592', 'src588', 'src589', 'src590', 'src592', 'src593', 'src594', 'src595']",ZF8FJY,[VERY GRAPHIC CONTENT!] At least 18 people killed including 9 children as a result of reported ballistic missile strike on the residential area near the playground.,04/04/2025,Kryvyi Rih,47.964942,33.441603,TRUE,['asc1'],00:00
"['src596', 'src597', 'src598', 'src599', 'src597', 'src598', 'src599']",1FLSR0,"Aftermath of the reported drones attack, at least two people reported injured.",04/04/2025,Brovary (Kyiv oblast),50.511055,30.848238,FALSE,['asc7'],00:00
['src600'],4ORDFQ,Reported damage to the Kharkivproject Institute building and surroundings.,03/30/2025,Kharkiv,50.022715,36.224694,FALSE,['asc4'],00:00
